"Alle","Mænd og kvinder i alt","15-19 år","Personer i gruppen (antal)","Hele landet",338539,346705,351943,354453,353484,351698,347257,344361,342812
"Alle","Mænd og kvinder i alt","15-19 år","Personer i gruppen (antal)","Landsdel Byen København",26763,27566,28190,28902,29317,29544,29692,29978,30495
"Alle","Mænd og kvinder i alt","15-19 år","Personer i gruppen (antal)","København",20313,20896,21376,21967,22270,22368,22486,22723,23078
"Alle","Mænd og kvinder i alt","15-19 år","Personer i gruppen (antal)","Frederiksberg",3230,3338,3458,3530,3634,3727,3842,3893,4049
"Alle","Mænd og kvinder i alt","15-19 år","Personer i gruppen (antal)","Dragør",837,882,885,871,906,917,885,892,877
"Alle","Mænd og kvinder i alt","15-19 år","Personer i gruppen (antal)","Tårnby",2383,2450,2471,2534,2507,2532,2479,2470,2491
"Alle","Mænd og kvinder i alt","15-19 år","Personer i gruppen (antal)","Landsdel Københavns omegn",31935,32673,33429,33481,33437,33410,33053,32863,32927
"Alle","Mænd og kvinder i alt","15-19 år","Personer i gruppen (antal)","Albertslund",2049,2091,2070,2051,1985,1965,1902,1879,1889
"Alle","Mænd og kvinder i alt","15-19 år","Personer i gruppen (antal)","Ballerup",3000,3122,3167,3212,3166,3108,3080,3085,3064
"Alle","Mænd og kvinder i alt","15-19 år","Personer i gruppen (antal)","Brøndby",2164,2210,2220,2213,2162,2149,2100,2033,2035
"Alle","Mænd og kvinder i alt","15-19 år","Personer i gruppen (antal)","Gentofte",4213,4440,4607,4709,4854,4987,5041,5037,5045
"Alle","Mænd og kvinder i alt","15-19 år","Personer i gruppen (antal)","Gladsaxe",3930,4111,4263,4292,4321,4300,4162,4124,4133
"Alle","Mænd og kvinder i alt","15-19 år","Personer i gruppen (antal)","Glostrup",1192,1163,1179,1217,1196,1172,1174,1143,1133
"Alle","Mænd og kvinder i alt","15-19 år","Personer i gruppen (antal)","Herlev",1740,1740,1727,1684,1687,1727,1726,1714,1693
"Alle","Mænd og kvinder i alt","15-19 år","Personer i gruppen (antal)","Hvidovre",3112,3157,3292,3251,3210,3187,3161,3098,3146
"Alle","Mænd og kvinder i alt","15-19 år","Personer i gruppen (antal)","Høje-Taastrup",2992,3043,3122,3105,3131,3063,3088,3056,3043
"Alle","Mænd og kvinder i alt","15-19 år","Personer i gruppen (antal)","Ishøj",1565,1515,1530,1482,1469,1489,1447,1421,1440
"Alle","Mænd og kvinder i alt","15-19 år","Personer i gruppen (antal)","Lyngby-Taarbæk",2970,3024,3062,3101,3140,3222,3202,3282,3278
